tahun_keluaran,nama_laptop,cpu,ram_gb,storage_gb,gpu,ukuran_layar_inch,resolusi_lebar,resolusi_tinggi,tipe_panel,kapasitas_baterai_wh,sistem_operasi,fitur_keamanan,harga_idr
2021,Lenovo IdeaPad Slim 96,AMD Ryzen 7 5800H,4,256,Intel UHD Graphics,14.0,1366,768,IPS,65,Windows 11 Pro,Fingerprint,7100000
2020,Asus Zenbook 63,AMD Ryzen 3 3200U,16,256,AMD Radeon Graphics,14.0,1366,768,IPS,38,Windows 11 Pro,IR Camera TPM 2.0,9500000
2021,Dell Inspiron 33,Intel Core i3-8130U,8,512,Intel Iris Xe,16.1,1366,768,IPS 144Hz,73,Windows 11 Home,Fingerprint,7100000
2022,Dell Inspiron 53,AMD Ryzen 9 8945HS,32,1024,Intel Arc Graphics,14.0,1366,768,OLED 120Hz,47,Windows 11 Home,IR Camera TPM 2.0,18200000
2025,MSI Katana 34,AMD Ryzen 7 9840U,64,2048,AMD Radeon 880M,15.6,2560,1600,OLED 120Hz,95,Windows 10 Home,Privacy Shutter,30600000
2023,Asus TUF Gaming 96,Intel Core i7-13700H,16,1024,Intel Arc Graphics,14.0,1920,1080,IPS,59,Windows 10 Home,Fingerprint,12000000
2022,HP Envy 85,Intel Core i5-1240P,16,1024,NVIDIA RTX 4060,13.3,2560,1600,IPS 144Hz,42,Windows 11 Pro,Firmware TPM,23900000
2024,MSI Katana 99,Intel Core Ultra 7 155H,32,512,Intel Arc Graphics,14.2,2560,1600,IPS 144Hz,44,Windows 10 Home,Privacy Shutter,16400000
2023,Acer Predator 79,Intel Core i7-13700H,32,512,NVIDIA RTX 4050,15.6,1366,768,OLED 120Hz,78,Windows 11 Pro,Fingerprint,18900000
2018,Apple MacBook Air 84,Intel Core i7-9750H,16,128,Intel UHD Graphics,16.0,3024,1964,IPS Retina,68,macOS,Touch ID,12200000
2019,Dell Alienware 18,AMD Ryzen 5 4500U,8,512,NVIDIA RTX 3050,15.6,3024,1964,TN,84,Windows 11 Home,Fingerprint,12900000
2018,Acer Nitro 11,AMD Ryzen 5 4500U,4,256,NVIDIA GTX 1650,16.0,2880,1800,IPS,59,Windows 11 Pro,Fingerprint,9100000
2019,Acer Aspire 47,Intel Core i5-1035G1,16,1024,NVIDIA GTX 1650,14.2,2560,1600,IPS,63,Windows 11 Home,Fingerprint,13400000
2026,Lenovo Legion 26,Snapdragon X Elite X1E-78-100,64,512,NVIDIA RTX 5070,16.1,1366,768,OLED 120Hz,55,Windows 10 Home,Firmware TPM,42400000
2026,Acer Predator 40,AMD Ryzen 7 9840U,16,1024,AMD Radeon 880M,16.1,1366,768,IPS 165Hz,62,Windows 10 Home,IR Camera TPM 2.0,14500000
2024,Dell Inspiron 41,Intel Core i5-1240P,32,512,NVIDIA RTX 3050,13.6,2560,1600,IPS,37,Windows 10 Home,Kensington Lock,20200000
2026,Lenovo IdeaPad Slim 28,Intel Core i9-16900HX,64,2048,Qualcomm Adreno,15.6,1920,1200,IPS 165Hz,98,Windows 11 Pro,Privacy Shutter,26900000
2022,Lenovo Yoga 63,Intel Core i5-1240P,32,512,NVIDIA RTX 4060,15.6,1366,768,OLED 120Hz,86,Windows 11 Home,Privacy Shutter,33600000
2024,Apple MacBook Pro 64,Apple M3 8-Core,32,256,Apple M3 8-Core GPU,16.1,2560,1600,IPS Retina,89,macOS,Touch ID Apple T2,30100000
2020,Apple MacBook Pro 18,Apple M1 8-Core,8,256,Apple M1 7-Core GPU,13.6,1920,1080,Liquid Retina,51,macOS,Touch ID Apple T2,10800000
2019,Acer Nitro 22,Intel Core i3-8130U,8,512,NVIDIA RTX 3050,13.3,1920,1080,IPS 144Hz,39,Windows 11 Pro,Fingerprint,13800000
2026,Lenovo ThinkPad 37,Intel Core Ultra 7 258V,16,512,NVIDIA RTX 5070,16.0,1920,1080,OLED 120Hz,85,Windows 11 Home,Privacy Shutter,37700000
2021,Acer Swift 81,AMD Ryzen 3 3200U,8,1024,AMD Radeon Graphics,14.0,2880,1800,IPS,58,Windows 11 Home,Privacy Shutter,9700000
2025,Acer Aspire 71,AMD Ryzen 7 9840U,32,1024,Intel Arc Graphics 140V,16.1,3024,1964,IPS 165Hz,69,Windows 11 Home,Fingerprint,16500000
2018,HP OmniBook 85,Intel Core i7-1165G7,4,256,AMD Radeon Graphics,14.2,1920,1080,TN,71,Windows 11 Pro,IR Camera TPM 2.0,4900000
2026,MSI Katana 43,Snapdragon X Elite X1E-78-100,16,2048,Qualcomm Adreno,13.6,2560,1600,OLED 120Hz,69,Windows 11 Home,IR Camera TPM 2.0,19100000
2026,MSI Modern 78,Intel Core Ultra 7 258V,16,1024,AMD Radeon 880M,13.6,3024,1964,IPS 165Hz,39,Windows 10 Home,Kensington Lock,13200000
2018,Lenovo ThinkPad 58,AMD Ryzen 7 5800H,16,1024,NVIDIA GTX 1650,14.2,1366,768,IPS 144Hz,36,Windows 10 Home,Firmware TPM,14400000
2024,Asus Vivobook 78,AMD Ryzen 7 7840HS,16,512,NVIDIA RTX 4050,16.1,1366,768,OLED 120Hz,66,Windows 11 Pro,Privacy Shutter,14400000
2020,Lenovo Yoga 90,Intel Core i7-1165G7,8,512,Intel UHD Graphics,14.2,2880,1800,IPS,64,Windows 11 Pro,Privacy Shutter,7000000
2021,HP Pavilion 94,Intel Core i3-8130U,8,512,NVIDIA GTX 1650,14.2,3024,1964,IPS 144Hz,38,Windows 11 Pro,Kensington Lock,11600000
2020,Asus TUF Gaming 66,AMD Ryzen 5 4500U,4,1024,Intel UHD Graphics,13.6,2560,1600,TN,71,Windows 11 Pro,Privacy Shutter,6800000
2018,Asus ROG Zephyrus 80,Intel Core i5-1035G1,8,256,Intel Iris Xe,13.6,1366,768,IPS 144Hz,60,Windows 11 Pro,Kensington Lock,5500000
2020,Dell Vostro 83,Intel Core i7-1165G7,8,1024,Intel Iris Xe,16.0,2880,1800,IPS 144Hz,60,Windows 11 Home,Firmware TPM,8800000
2023,Asus Vivobook 66,Intel Core Ultra 7 155H,32,1024,NVIDIA RTX 4070,13.3,1920,1200,OLED,75,Windows 10 Home,Kensington Lock,35100000
2023,Dell Alienware 66,AMD Ryzen 9 8945HS,16,512,NVIDIA RTX 4070,16.1,3024,1964,OLED,70,Windows 10 Home,Firmware TPM,22400000
2020,Acer Swift 60,Intel Core i3-8130U,4,256,AMD Radeon Graphics,14.0,1366,768,IPS,52,Windows 11 Home,Privacy Shutter,5400000
2019,Lenovo ThinkPad 68,AMD Ryzen 5 4500U,8,256,Intel UHD Graphics,14.0,1366,768,TN,70,Windows 11 Pro,Firmware TPM,6700000
2023,Apple MacBook Pro 12,Apple M3 8-Core,8,1024,Apple M3 8-Core GPU,15.6,2880,1800,Liquid Retina,70,macOS,Touch ID Apple T2,29900000
2024,Lenovo Yoga 45,AMD Ryzen 5 7520U,8,512,Intel Arc Graphics,14.0,1920,1200,OLED 120Hz,61,Windows 11 Home,Privacy Shutter,14500000
2019,HP Envy 42,AMD Ryzen 5 4500U,16,256,NVIDIA GTX 1650,13.6,1366,768,TN,54,Windows 11 Pro,IR Camera TPM 2.0,15300000
2023,Apple MacBook Pro 53,Apple M3 8-Core,16,512,Apple M3 8-Core GPU,14.0,3024,1964,Liquid Retina,73,macOS,Touch ID Apple T2,26300000
2020,Acer Nitro 48,AMD Ryzen 5 4500U,4,512,NVIDIA GTX 1650,16.1,1920,1200,IPS,80,Windows 11 Pro,IR Camera TPM 2.0,10900000
2021,Dell Vostro 98,AMD Ryzen 7 5800H,8,1024,Intel Iris Xe,16.1,3024,1964,IPS,73,Windows 11 Pro,Kensington Lock,8000000
2024,MSI Stealth 28,Intel Core i7-13700H,16,512,NVIDIA RTX 4060,16.1,1366,768,OLED 120Hz,79,Windows 11 Pro,Privacy Shutter,31900000
2024,Dell Alienware 80,AMD Ryzen 9 8945HS,32,512,Intel Iris Xe,16.0,1920,1200,IPS 144Hz,97,Windows 10 Home,Privacy Shutter,15200000
2018,Dell Alienware 53,Intel Core i3-8130U,4,512,Intel Iris Xe,16.0,2880,1800,IPS 144Hz,88,Windows 11 Home,Kensington Lock,5500000
2021,Acer Nitro 61,AMD Ryzen 7 5800H,16,256,AMD Radeon Graphics,14.2,1920,1200,TN,41,Windows 11 Home,Firmware TPM,9600000
2019,Asus Zenbook 55,AMD Ryzen 3 3200U,4,1024,NVIDIA GTX 1650,14.2,2560,1600,IPS,41,Windows 11 Home,Privacy Shutter,13100000
2025,HP Pavilion 49,Intel Core Ultra 7 258V,32,2048,Intel Arc Graphics 140V,16.1,3024,1964,IPS 165Hz,65,Windows 10 Home,Kensington Lock,18300000
2026,Lenovo Yoga 53,Snapdragon X Elite X1E-78-100,16,1024,NVIDIA RTX 5070,13.6,3024,1964,OLED 120Hz,75,Windows 11 Pro,IR Camera TPM 2.0,31800000
2021,Acer Predator 60,Intel Core i5-1035G1,8,1024,Intel UHD Graphics,13.3,1920,1080,IPS 144Hz,69,Windows 10 Home,Fingerprint,8600000
2023,Lenovo ThinkPad 25,AMD Ryzen 7 7840HS,32,1024,NVIDIA RTX 4050,15.6,2880,1800,OLED 120Hz,80,Windows 11 Home,IR Camera TPM 2.0,18200000
2023,Apple MacBook Pro 90,Apple M4 10-Core,24,1024,Apple M4 10-Core GPU,15.6,3024,1964,Liquid Retina XDR,60,macOS,Touch ID,26800000
2021,HP Pavilion 34,AMD Ryzen 5 4500U,8,512,NVIDIA RTX 3050,15.6,2560,1600,TN,79,Windows 11 Home,Fingerprint,11900000
2026,MSI Cyborg 82,AMD Ryzen 7 9840U,16,512,Qualcomm Adreno,15.6,1920,1200,Mini LED 240Hz,58,Windows 10 Home,IR Camera TPM 2.0,15100000
2020,Lenovo ThinkPad 82,AMD Ryzen 3 3200U,16,512,NVIDIA GTX 1650,16.1,2560,1600,IPS 144Hz,83,Windows 11 Pro,IR Camera TPM 2.0,12300000
2018,Apple MacBook Air 48,Intel Core i5-8210Y,16,128,Intel UHD Graphics,16.1,2880,1800,Liquid Retina,84,macOS,Touch ID,11900000
2026,Asus Vivobook 45,Snapdragon X 2nd Gen,16,2048,NVIDIA RTX 4060,13.6,1366,768,IPS 165Hz,62,Windows 11 Pro,Privacy Shutter,34900000
2021,HP Pavilion 68,Intel Core i3-8130U,8,256,Intel Iris Xe,16.1,3024,1964,TN,92,Windows 11 Home,Privacy Shutter,7400000
2024,Lenovo Yoga 37,AMD Ryzen 7 7840HS,16,1024,NVIDIA RTX 4050,14.0,1920,1200,IPS 144Hz,53,Windows 10 Home,Kensington Lock,12800000
2022,Apple MacBook Air 28,Apple M3 8-Core,16,1024,Apple M3 8-Core GPU,16.1,1920,1080,IPS Retina,63,macOS,Touch ID Apple T2,26500000
2021,Apple MacBook Pro 73,Apple M4 10-Core,24,1024,Apple M4 10-Core GPU,14.2,2560,1600,Liquid Retina XDR,59,macOS,Touch ID,27400000
2019,Acer Nitro 99,AMD Ryzen 3 3200U,8,1024,Intel UHD Graphics,13.3,3024,1964,IPS 144Hz,64,Windows 11 Home,IR Camera TPM 2.0,8000000
2023,Apple MacBook Air 79,Apple M3 8-Core,16,512,Apple M3 8-Core GPU,14.0,1920,1200,IPS Retina,55,macOS,Touch ID Apple T2,29400000
2020,Dell Alienware 54,Intel Core i3-8130U,4,1024,NVIDIA GTX 1650,13.3,2560,1600,TN,45,Windows 11 Pro,Kensington Lock,11200000
2024,Lenovo Yoga 94,Intel Core Ultra 7 155H,8,1024,AMD Radeon Graphics,14.0,1366,768,IPS,45,Windows 11 Home,Fingerprint,10500000
2022,MSI Cyborg 65,AMD Ryzen 9 8945HS,8,512,Intel Arc Graphics,13.3,2880,1800,OLED 120Hz,43,Windows 11 Pro,Kensington Lock,11700000
2025,Asus Vivobook 54,Intel Core i9-16900HX,32,512,AMD Radeon 880M,13.3,1366,768,Mini LED 240Hz,41,Windows 10 Home,IR Camera TPM 2.0,19600000
2022,Lenovo ThinkPad 28,Intel Core i5-1240P,32,512,NVIDIA RTX 4050,14.2,3024,1964,IPS 144Hz,57,Windows 11 Pro,Fingerprint,14100000
2020,Acer Predator 38,Intel Core i5-1035G1,4,1024,NVIDIA GTX 1650,14.2,1920,1080,IPS,55,Windows 10 Home,Kensington Lock,10900000
2019,Lenovo Legion 99,Intel Core i5-1035G1,16,1024,NVIDIA RTX 3050,16.0,1920,1200,TN,80,Windows 10 Home,Privacy Shutter,14500000
2021,Acer Predator 25,AMD Ryzen 7 5800H,16,256,NVIDIA RTX 3050,14.0,1920,1080,TN,55,Windows 10 Home,IR Camera TPM 2.0,15100000
2024,HP OmniBook 98,Intel Core i5-1240P,8,512,Intel Iris Xe,13.6,1366,768,OLED,37,Windows 10 Home,IR Camera TPM 2.0,13600000
2022,MSI Stealth 65,Intel Core i5-1240P,32,512,AMD Radeon Graphics,14.0,2880,1800,IPS,40,Windows 11 Pro,IR Camera TPM 2.0,15600000
2021,Apple MacBook Air 79,Apple M4 10-Core,8,512,Apple M4 10-Core GPU,16.0,3024,1964,Liquid Retina,82,macOS,Touch ID Apple T2,21800000
2019,Acer Aspire 69,Intel Core i3-8130U,8,1024,Intel Iris Xe,13.3,3024,1964,TN,43,Windows 11 Pro,Firmware TPM,6700000
2020,Acer Nitro 77,Intel Core i5-1035G1,8,256,AMD Radeon Graphics,13.3,1920,1200,IPS 144Hz,36,Windows 11 Pro,Privacy Shutter,7800000
2024,HP OmniBook 19,AMD Ryzen 9 8945HS,8,1024,NVIDIA RTX 3050,13.3,2880,1800,OLED,66,Windows 11 Home,Firmware TPM,17200000
2022,Apple MacBook Air 84,Apple M4 10-Core,8,256,Apple M4 10-Core GPU,16.1,1920,1080,IPS Retina,55,macOS,Touch ID,20800000
2024,Lenovo Yoga 15,Intel Core i7-13700H,16,512,NVIDIA RTX 3050,14.0,2880,1800,OLED,39,Windows 11 Pro,IR Camera TPM 2.0,19000000
2018,Lenovo Yoga 77,Intel Core i3-8130U,8,512,AMD Radeon Graphics,13.3,2560,1600,IPS,70,Windows 10 Home,IR Camera TPM 2.0,5300000
2023,Lenovo Legion 83,Intel Core i7-13700H,16,1024,NVIDIA RTX 4050,16.1,3024,1964,OLED 120Hz,67,Windows 11 Home,Firmware TPM,16900000
2021,Lenovo IdeaPad Slim 63,AMD Ryzen 5 4500U,8,1024,Intel UHD Graphics,13.3,3024,1964,IPS,59,Windows 10 Home,Fingerprint,9400000
2022,Asus Zenbook 78,AMD Ryzen 5 7520U,8,512,NVIDIA RTX 4060,13.3,1920,1080,OLED,37,Windows 10 Home,IR Camera TPM 2.0,29600000
2023,Acer Aspire 85,Intel Core i7-13700H,32,1024,Intel Iris Xe,14.2,1920,1080,IPS,43,Windows 10 Home,Firmware TPM,15600000
2022,Apple MacBook Pro 61,Apple M3 8-Core,24,256,Apple M3 8-Core GPU,13.3,1920,1080,Liquid Retina,47,macOS,Touch ID Apple T2,31900000
2019,Lenovo ThinkPad 70,Intel Core i3-8130U,16,512,Intel Iris Xe,14.0,1920,1200,IPS,64,Windows 11 Home,IR Camera TPM 2.0,9700000
2019,Asus Zenbook 98,Intel Core i3-8130U,4,512,Intel Iris Xe,16.0,1920,1200,TN,70,Windows 11 Home,Firmware TPM,5700000
2026,Asus ROG Zephyrus 44,Snapdragon X Elite X1E-78-100,32,2048,NVIDIA RTX 5070,13.6,2560,1600,IPS 165Hz,41,Windows 10 Home,Kensington Lock,29800000
2020,Asus Vivobook 18,Intel Core i5-1035G1,8,512,Intel UHD Graphics,15.6,1366,768,IPS 144Hz,71,Windows 10 Home,Fingerprint,6500000
2019,Lenovo ThinkPad 27,Intel Core i3-8130U,4,512,Intel UHD Graphics,15.6,3024,1964,TN,82,Windows 10 Home,Privacy Shutter,5700000
2025,Asus TUF Gaming 98,AMD Ryzen 7 9840U,16,512,Qualcomm Adreno,14.2,1366,768,Mini LED 240Hz,44,Windows 11 Home,Fingerprint,17300000
2021,MSI Katana 74,AMD Ryzen 3 3200U,4,256,AMD Radeon Graphics,13.6,1920,1080,IPS,61,Windows 11 Home,Firmware TPM,7000000
2026,Lenovo IdeaPad Slim 59,Snapdragon X Elite X1E-78-100,64,1024,Qualcomm Adreno,15.6,2560,1600,IPS 165Hz,75,Windows 11 Pro,Privacy Shutter,25400000
2020,Asus ROG Zephyrus 87,Intel Core i7-1165G7,4,512,NVIDIA RTX 3050,16.1,1920,1080,IPS,92,Windows 10 Home,Kensington Lock,9300000
2021,MSI Cyborg 45,Intel Core i5-1035G1,16,512,AMD Radeon Graphics,13.6,2880,1800,TN,50,Windows 11 Pro,Kensington Lock,9700000
2023,Dell Inspiron 56,Intel Core i7-13700H,32,512,NVIDIA RTX 4070,15.6,1920,1080,OLED 120Hz,74,Windows 11 Pro,Firmware TPM,32800000
2018,Lenovo Yoga 13,Intel Core i3-8130U,8,1024,Intel Iris Xe,14.0,1920,1200,TN,46,Windows 11 Pro,IR Camera TPM 2.0,6200000
2018,Lenovo Yoga 25,Intel Core i3-8130U,8,1024,NVIDIA GTX 1650,13.3,1920,1200,IPS 144Hz,56,Windows 11 Pro,Privacy Shutter,10700000
2020,MSI Stealth 92,Intel Core i5-1035G1,16,1024,NVIDIA RTX 3050,13.6,1920,1080,IPS,72,Windows 11 Home,Privacy Shutter,14500000
2022,Lenovo Yoga 11,AMD Ryzen 5 7520U,32,512,Intel Arc Graphics,16.1,1920,1080,OLED,94,Windows 11 Pro,Firmware TPM,19500000
2019,Acer Swift 53,Intel Core i5-1035G1,8,512,Intel Iris Xe,13.3,3024,1964,IPS 144Hz,75,Windows 11 Pro,Kensington Lock,7700000
2023,Acer Aspire 44,AMD Ryzen 9 8945HS,8,1024,AMD Radeon Graphics,16.0,1366,768,IPS,55,Windows 10 Home,Fingerprint,9800000
2025,MSI Stealth 32,Snapdragon X Elite X1E-78-100,32,2048,NVIDIA RTX 4060,16.1,2880,1800,OLED 120Hz,85,Windows 11 Home,IR Camera TPM 2.0,42000000
2020,Acer Aspire 15,Intel Core i7-1165G7,8,256,Intel UHD Graphics,13.6,1920,1080,IPS,59,Windows 11 Home,Kensington Lock,7600000
2019,Dell Inspiron 54,AMD Ryzen 3 3200U,16,256,NVIDIA GTX 1650,13.6,2560,1600,IPS 144Hz,73,Windows 11 Pro,Firmware TPM,11300000
2019,HP Victus 35,AMD Ryzen 7 5800H,16,1024,AMD Radeon Graphics,14.0,1920,1080,IPS 144Hz,54,Windows 11 Home,Firmware TPM,8800000
2018,Acer Predator 30,Intel Core i3-8130U,8,256,AMD Radeon Graphics,16.0,2560,1600,IPS 144Hz,93,Windows 10 Home,Privacy Shutter,5300000
2019,Asus Zenbook 32,Intel Core i3-8130U,8,256,AMD Radeon Graphics,14.2,3024,1964,IPS,66,Windows 11 Pro,Privacy Shutter,6000000
2019,MSI Stealth 34,Intel Core i7-1165G7,4,512,Intel UHD Graphics,14.2,1920,1200,IPS,64,Windows 11 Home,IR Camera TPM 2.0,5300000
2022,Dell Inspiron 30,Intel Core i5-1240P,32,1024,NVIDIA RTX 4070,16.1,1920,1080,OLED 120Hz,92,Windows 11 Pro,Kensington Lock,35700000
2024,Apple MacBook Pro 79,Apple M2 8-Core,32,512,Apple M2 8-Core GPU,13.3,3024,1964,Liquid Retina XDR,60,macOS,Touch ID Apple T2,18100000
2026,Apple MacBook Air 26,Apple M2 8-Core,16,256,Apple M2 8-Core GPU,13.6,2560,1600,IPS Retina,37,macOS,Touch ID Apple T2,15400000
2024,Lenovo Yoga 87,AMD Ryzen 9 8945HS,8,512,NVIDIA RTX 3050,15.6,1920,1200,OLED 120Hz,75,Windows 11 Home,Privacy Shutter,19900000
2018,Apple MacBook Pro 25,Intel Core i5-8210Y,8,128,Intel UHD Graphics,15.6,1920,1200,IPS Retina,61,macOS,Touch ID Apple T2,10800000
2023,Acer Nitro 60,AMD Ryzen 7 7840HS,32,1024,Intel Iris Xe,14.0,1920,1080,IPS 144Hz,60,Windows 11 Pro,IR Camera TPM 2.0,16300000
2024,Asus TUF Gaming 53,Intel Core i5-1240P,32,1024,AMD Radeon Graphics,13.3,1920,1200,OLED,56,Windows 11 Pro,Fingerprint,19500000
2025,Apple MacBook Air 40,Apple M4 10-Core,32,512,Apple M4 10-Core GPU,14.0,2880,1800,Liquid Retina,61,macOS,Touch ID,37100000
2025,Lenovo ThinkPad 73,Intel Core Ultra 7 258V,64,512,Intel Arc Graphics 140V,16.0,2560,1600,Mini LED 240Hz,87,Windows 11 Pro,Privacy Shutter,27700000
2026,Dell Inspiron 33,Intel Core Ultra 7 258V,16,512,NVIDIA RTX 4060,14.0,1920,1200,OLED 120Hz,47,Windows 10 Home,Fingerprint,31300000
2024,MSI Modern 98,Intel Core Ultra 7 155H,16,1024,Intel Arc Graphics,15.6,1920,1200,OLED 120Hz,90,Windows 10 Home,Fingerprint,15400000
2022,MSI Modern 47,Intel Core i5-1240P,8,512,NVIDIA RTX 4070,16.0,3024,1964,IPS 144Hz,69,Windows 10 Home,IR Camera TPM 2.0,19700000
2024,Dell Inspiron 98,Intel Core i7-13700H,32,512,NVIDIA RTX 4050,13.6,2880,1800,IPS,51,Windows 10 Home,IR Camera TPM 2.0,16600000
2022,MSI Katana 65,AMD Ryzen 5 7520U,16,512,NVIDIA RTX 3050,16.0,2880,1800,OLED,88,Windows 11 Home,Privacy Shutter,19000000
2018,Dell XPS 82,AMD Ryzen 5 4500U,8,512,Intel UHD Graphics,13.3,1920,1200,IPS,56,Windows 11 Pro,Firmware TPM,6600000
2023,Apple MacBook Pro 44,Apple M2 8-Core,16,256,Apple M2 8-Core GPU,16.1,2560,1600,IPS Retina,93,macOS,Touch ID Apple T2,15300000
2020,MSI Modern 94,Intel Core i7-1165G7,8,512,NVIDIA GTX 1650,13.3,3024,1964,IPS 144Hz,72,Windows 11 Home,Privacy Shutter,13600000
2021,HP Victus 98,AMD Ryzen 7 5800H,8,1024,AMD Radeon Graphics,16.1,2880,1800,TN,97,Windows 11 Pro,IR Camera TPM 2.0,8200000
2022,Asus TUF Gaming 27,AMD Ryzen 9 8945HS,32,512,NVIDIA RTX 4060,16.0,1920,1080,OLED,60,Windows 11 Pro,Privacy Shutter,32100000
2022,Acer Nitro 58,Intel Core Ultra 7 155H,16,512,NVIDIA RTX 3050,16.1,2880,1800,IPS,95,Windows 11 Home,Firmware TPM,17100000
2019,Acer Swift 75,AMD Ryzen 5 4500U,8,512,Intel UHD Graphics,13.6,1920,1200,TN,47,Windows 10 Home,IR Camera TPM 2.0,6700000
2025,Lenovo Legion 34,AMD Ryzen 7 9840U,64,512,Qualcomm Adreno,13.3,2560,1600,IPS 165Hz,35,Windows 10 Home,IR Camera TPM 2.0,24000000
2021,Apple MacBook Air 84,Apple M2 8-Core,16,1024,Apple M2 8-Core GPU,14.2,2560,1600,Liquid Retina,75,macOS,Touch ID,14400000
2025,Acer Aspire 15,AMD Ryzen 7 9840U,16,1024,NVIDIA RTX 4070,13.3,3024,1964,OLED 120Hz,35,Windows 11 Pro,Fingerprint,28800000
2023,HP Victus 24,AMD Ryzen 7 7840HS,16,512,Intel Iris Xe,14.0,2560,1600,IPS,53,Windows 11 Home,Firmware TPM,11800000
2026,Dell XPS 66,AMD Ryzen 7 9840U,32,1024,AMD Radeon 880M,16.1,1366,768,OLED 120Hz,80,Windows 11 Pro,Fingerprint,20300000
2020,Lenovo IdeaPad Slim 86,Intel Core i3-8130U,8,1024,Intel UHD Graphics,16.0,2880,1800,IPS,71,Windows 11 Pro,Fingerprint,8500000
2018,Dell Inspiron 95,Intel Core i3-8130U,16,256,NVIDIA GTX 1650,14.2,2880,1800,IPS,42,Windows 10 Home,Kensington Lock,11900000
2020,Lenovo IdeaPad Slim 49,AMD Ryzen 7 5800H,16,512,NVIDIA RTX 3050,16.0,2560,1600,IPS 144Hz,63,Windows 11 Home,Kensington Lock,16800000
2019,Dell Inspiron 47,AMD Ryzen 3 3200U,4,1024,Intel Iris Xe,16.1,1920,1080,IPS,88,Windows 10 Home,Kensington Lock,6400000
2024,HP Victus 16,Intel Core i7-13700H,32,1024,AMD Radeon Graphics,13.3,3024,1964,IPS 144Hz,35,Windows 11 Pro,IR Camera TPM 2.0,15800000
2019,Apple MacBook Pro 30,Intel Core i5-8210Y,8,256,Intel UHD Graphics,16.0,2560,1600,Liquid Retina XDR,69,macOS,Touch ID,9300000
2025,Asus Vivobook 33,AMD Ryzen 7 9840U,64,1024,NVIDIA RTX 4060,13.3,1366,768,IPS 165Hz,41,Windows 10 Home,Privacy Shutter,34200000
2020,MSI Cyborg 53,AMD Ryzen 5 4500U,8,1024,Intel UHD Graphics,16.1,1920,1080,IPS,76,Windows 11 Home,IR Camera TPM 2.0,7500000
2024,Acer Predator 45,AMD Ryzen 5 7520U,32,512,Intel Iris Xe,16.0,1920,1080,IPS 144Hz,58,Windows 11 Home,IR Camera TPM 2.0,15100000
2024,Dell Alienware 83,Intel Core i7-13700H,32,1024,NVIDIA RTX 4070,15.6,3024,1964,OLED,56,Windows 11 Pro,IR Camera TPM 2.0,31800000
2025,Asus TUF Gaming 67,AMD Ryzen 7 9840U,64,1024,Intel Arc Graphics 140V,16.1,2880,1800,IPS 165Hz,98,Windows 10 Home,Kensington Lock,25800000
2021,MSI Katana 77,Intel Core i3-8130U,8,1024,Intel Iris Xe,14.0,1920,1080,IPS,59,Windows 11 Pro,Firmware TPM,9600000
2026,Dell Inspiron 12,Snapdragon X 2nd Gen,32,1024,AMD Radeon 880M,16.1,1920,1200,OLED 120Hz,86,Windows 11 Pro,Fingerprint,20500000
2022,Asus Zenbook 81,AMD Ryzen 5 7520U,8,512,NVIDIA RTX 3050,16.1,2560,1600,OLED 120Hz,91,Windows 11 Pro,IR Camera TPM 2.0,16100000
2023,Asus TUF Gaming 94,AMD Ryzen 5 7520U,16,512,NVIDIA RTX 4050,16.1,2880,1800,IPS,60,Windows 10 Home,Kensington Lock,11600000
2022,Dell Vostro 94,Intel Core Ultra 7 155H,16,512,NVIDIA RTX 4070,16.1,1920,1200,IPS 144Hz,84,Windows 11 Pro,IR Camera TPM 2.0,28700000
2025,MSI Katana 68,Intel Core i9-16900HX,16,1024,Qualcomm Adreno,16.1,2880,1800,IPS 165Hz,73,Windows 10 Home,Kensington Lock,13300000
2023,MSI Modern 16,Intel Core i7-13700H,32,1024,Intel Iris Xe,15.6,1920,1080,OLED,67,Windows 10 Home,IR Camera TPM 2.0,19500000
2024,Lenovo ThinkPad 35,Intel Core i5-1240P,16,512,NVIDIA RTX 4060,16.1,2560,1600,IPS,83,Windows 11 Pro,Privacy Shutter,31200000
2026,Lenovo ThinkPad 11,Snapdragon X 2nd Gen,32,2048,NVIDIA RTX 4060,16.1,3024,1964,IPS 165Hz,66,Windows 11 Pro,Kensington Lock,36400000
2020,Asus TUF Gaming 95,Intel Core i7-1165G7,16,512,NVIDIA GTX 1650,16.0,1920,1200,IPS 144Hz,70,Windows 11 Pro,Firmware TPM,13900000
2022,Acer Swift 28,AMD Ryzen 9 8945HS,32,1024,NVIDIA RTX 4070,16.0,3024,1964,OLED,90,Windows 11 Home,Firmware TPM,29400000
2022,MSI Katana 97,AMD Ryzen 7 7840HS,32,1024,NVIDIA RTX 4060,16.1,2880,1800,IPS,77,Windows 10 Home,Fingerprint,31700000
2024,MSI Katana 65,Intel Core i5-1240P,8,1024,Intel Arc Graphics,16.0,1920,1080,IPS,58,Windows 10 Home,Firmware TPM,10200000
2020,HP Envy 29,Intel Core i5-1035G1,16,256,AMD Radeon Graphics,13.3,3024,1964,IPS,74,Windows 10 Home,Privacy Shutter,9600000
2026,Apple MacBook Air 93,Apple M4 10-Core,24,1024,Apple M4 10-Core GPU,16.0,2560,1600,IPS Retina,58,macOS,Touch ID Apple T2,34700000
